step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
0,-1.39,f,0,0.12648012746175133,0.06303818808661568,0.9309484578450516,0.0,0.0,0.0,1
0,-1.39,f,1,0.04105234247843424,0.06301996832953559,0.9016909545898437,0.0,0.0,0.0,1
0,-1.39,f,2,0.09700726708306205,0.06304700809054904,0.8996141262478299,0.0,0.0,0.0,1
0,-1.39,f,3,0.09391749267578126,0.12905110066731773,0.9045318562825518,0.0,0.0,0.0,1
0,-1.39,m,112,0.12600072121133613,0.06303788804034798,0.9309983981385523,0.11537122618870747,0.6978845071789798,-0.6973390751729321,0.11560669982412959
1,-1.2576190476190474,f,0,0.1264755632188585,0.06304314431084526,0.9309530029296874,0.0,0.0,0.0,1
1,-1.2576190476190474,f,1,0.041052100033230246,0.06301827078925239,0.9016833455403643,0.0,0.0,0.0,1
1,-1.2576190476190474,f,2,0.09700615963406034,0.06305189370049372,0.8996162231445313,0.0,0.0,0.0,1
1,-1.2576190476190474,f,3,0.09348906589084204,0.13073601277669267,0.9046261094835066,0.0,0.0,0.0,1
1,-1.2576190476190474,m,112,0.12599626595633373,0.06304297918202925,0.931004164092395,0.11538422456558028,0.6979125342557639,-0.6972957163013715,0.11568603752335055
2,-1.1252380952380951,f,0,0.12647696753607857,0.06304108606974283,0.9309648939344615,0.0,0.0,0.0,1
2,-1.1252380952380951,f,1,0.04105582622951932,0.06301686308119034,0.9016870971679686,0.0,0.0,0.0,1
2,-1.1252380952380951,f,2,0.09701007978651256,0.06304922442966038,0.899619460720486,0.0,0.0,0.0,1
2,-1.1252380952380951,f,3,0.09261011912027996,0.13358589002821178,0.9050583808051215,0.0,0.0,0.0,1
2,-1.1252380952380951,m,112,0.1259976065499442,0.06304082566864638,0.9310128385582748,0.11541291724077157,0.6978999209622881,-0.6972998425704112,0.11570863583193162
3,-0.9928571428571428,f,0,0.12647914853303327,0.06304260229027789,0.9309656119968583,0.0,0.0,0.0,1
3,-0.9928571428571428,f,1,0.04105576117142388,0.06301776413295582,0.9016930794093921,0.0,0.0,0.0,1
3,-0.9928571428571428,f,2,0.09701038675722869,0.06305076350336491,0.8996251525878907,0.0,0.0,0.0,1
3,-0.9928571428571428,f,3,0.09139560749219812,0.1363429230399754,0.9057284187648607,0.0,0.0,0.0,1
3,-0.9928571428571428,m,112,0.12599809031583828,0.06304285119504341,0.931017442352918,0.11540831332417328,0.6979073445176266,-0.697293077342064,0.11570922165004296
4,-0.8604761904761904,f,0,0.1264774830558083,0.06303894970633767,0.9309512772993607,0.0,0.0,0.0,1
4,-0.8604761904761904,f,1,0.04105505787242542,0.06301544709639115,0.9016826698996805,0.0,0.0,0.0,1
4,-0.8604761904761904,f,2,0.09701029673489661,0.0630473247874867,0.8996130176890982,0.0,0.0,0.0,1
4,-0.8604761904761904,f,3,0.08984707433527167,0.1389941125349565,0.9066158197576347,0.0,0.0,0.0,1
4,-0.8604761904761904,m,112,0.1259990523980588,0.06303814494853116,0.9310009317203448,0.11540150981610912,0.6979021616319269,-0.6973026136725179,0.11568979767949067
5,-0.728095238095238,f,0,0.12647806328667532,0.06303939192030165,0.9309604017469619,0.0,0.0,0.0,1
5,-0.728095238095238,f,1,0.041056712426079646,0.06301452840169272,0.9016793253580728,0.0,0.0,0.0,1
5,-0.728095238095238,f,2,0.09701258985731338,0.06304698164198133,0.8996203952365451,0.0,0.0,0.0,1
5,-0.728095238095238,f,3,0.08799077792697482,0.14142045661078556,0.9077120591905381,0.0,0.0,0.0,1
5,-0.728095238095238,m,112,0.12599831828665226,0.06303932547062001,0.9310112746218417,0.11542971517310573,0.6978947559124524,-0.6972996249415764,0.11572434307997262
6,-0.5957142857142856,f,0,0.12647653795325242,0.06303689351289168,0.9309517954950748,0.0,0.0,0.0,1
6,-0.5957142857142856,f,1,0.04105807893172554,0.06301342184647267,0.9016692465077275,0.0,0.0,0.0,1
6,-0.5957142857142856,f,2,0.0970131107827892,0.06304358482360838,0.8996073555324388,0.0,0.0,0.0,1
6,-0.5957142857142856,f,3,0.0858433252417523,0.14353539010752808,0.9088843596085256,0.0,0.0,0.0,1
6,-0.5957142857142856,m,112,0.12599783745590523,0.06303638364830796,0.9310009516501913,0.11544965081493914,0.6978747515352313,-0.6973158776736504,0.11572716206912931
7,-0.46333333333333326,f,0,0.12647461819118927,0.06303862109714083,0.9309576483832467,0.0,0.0,0.0,1
7,-0.46333333333333326,f,1,0.041057868533664284,0.0630137934366862,0.9016660766601567,0.0,0.0,0.0,1
7,-0.46333333333333326,f,2,0.09701306169297964,0.06304508514404297,0.8996124620225697,0.0,0.0,0.0,1
7,-0.46333333333333326,f,3,0.08347697330050999,0.1453328491210937,0.9101981892903647,0.0,0.0,0.0,1
7,-0.46333333333333326,m,112,0.12599522057358092,0.06303783152054768,0.9310067275689575,0.11547669488069089,0.6978670075243241,-0.6973127797330263,0.11576553878195676
8,-0.3309523809523809,f,0,0.12647590179443352,0.06304165462917753,0.9309603624131945,0.0,0.0,0.0,1
8,-0.3309523809523809,f,1,0.04106093504163955,0.06301696166992188,0.90166891140408,0.0,0.0,0.0,1
8,-0.3309523809523809,f,2,0.09701629265679251,0.06304720798068579,0.8996138495551216,0.0,0.0,0.0,1
8,-0.3309523809523809,f,3,0.0809738025241428,0.14674320203993058,0.9115886406792535,0.0,0.0,0.0,1
8,-0.3309523809523809,m,112,0.1259969800053811,0.06304126941914462,0.9310108891701209,0.11548703161797239,0.6978509000267434,-0.6973259958375718,0.11577271867358199
9,-0.19857142857142862,f,0,0.1264744849826979,0.0630413411181906,0.9309637729810631,0.0,0.0,0.0,1
9,-0.19857142857142862,f,1,0.04106034643753715,0.063016660441523,0.9016695092242698,0.0,0.0,0.0,1
9,-0.19857142857142862,f,2,0.09701611377881919,0.06304695477692977,0.8996164245605469,0.0,0.0,0.0,1
9,-0.19857142857142862,f,3,0.07835335938826851,0.14776441325312076,0.913074433699898,0.0,0.0,0.0,1
9,-0.19857142857142862,m,112,0.12599556872309473,0.06304107307901186,0.9310149012974331,0.11550239116835087,0.6978492225388017,-0.6973231133498103,0.11578486872001374
10,-0.06619047619047613,f,0,0.1264742552015517,0.06304264517890083,0.930968253580729,0.0,0.0,0.0,1
10,-0.06619047619047613,f,1,0.041061293707953556,0.063017017449273,0.9016654473198789,0.0,0.0,0.0,1
10,-0.06619047619047613,f,2,0.09701640692816843,0.06304760097927518,0.8996180840386281,0.0,0.0,0.0,1
10,-0.06619047619047613,f,3,0.07568656378851997,0.1483932305230035,0.9145527113172742,0.0,0.0,0.0,1
10,-0.06619047619047613,m,112,0.1259943559607681,0.06304220884673448,0.9310181623186385,0.1155255220462909,0.6978416258977244,-0.697322075808877,0.11581382262040754
11,0.06619047619047636,f,0,0.1264794731987847,0.06304340354071723,0.930958614095052,0.0,0.0,0.0,1
11,0.06619047619047636,f,1,0.041063827175564234,0.06301818415323893,0.9016637301974829,0.0,0.0,0.0,1
11,0.06619047619047636,f,2,0.09701996443006725,0.0630484402126736,0.8996122897677953,0.0,0.0,0.0,1
11,0.06619047619047636,f,3,0.07305289645724826,0.14860557963053384,0.9159404825846353,0.0,0.0,0.0,1
11,0.06619047619047636,m,112,0.12600012767558194,0.06304285197355308,0.9310082385004781,0.11549736308940245,0.6978455685233574,-0.6973281460931694,0.11578159731999754
12,0.19857142857142862,f,0,0.12647325236002604,0.06303952518039278,0.9309701768663194,0.0,0.0,0.0,1
12,0.19857142857142862,f,1,0.04105927403767905,0.06301231833563913,0.9016679022894963,0.0,0.0,0.0,1
12,0.19857142857142862,f,2,0.0970146672566732,0.06304387469821507,0.8996201619466144,0.0,0.0,0.0,1
12,0.19857142857142862,f,3,0.070418438551161,0.14843860371907555,0.9173252020941834,0.0,0.0,0.0,1
12,0.19857142857142862,m,112,0.12599309695496852,0.06303922326224191,0.9310188498983578,0.11551397527228777,0.6978406410037237,-0.6973247816865893,0.11581498230391399
13,0.3309523809523809,f,0,0.1264752382066515,0.06304275512695313,0.9309627305772572,0.0,0.0,0.0,1
13,0.3309523809523809,f,1,0.04105878982543945,0.06301597273084851,0.9016745320638019,0.0,0.0,0.0,1
13,0.3309523809523809,f,2,0.09701460554334855,0.06304726282755534,0.8996181640625,0.0,0.0,0.0,1
13,0.3309523809523809,f,3,0.0679667209201389,0.1478003258599175,0.9184941880967881,0.0,0.0,0.0,1
13,0.3309523809523809,m,112,0.1259964439236388,0.06304263897331396,0.9310119616450094,0.11546408256372521,0.6978469407655304,-0.6973351617627895,0.11576426508716639
14,0.4633333333333334,f,0,0.12647676713731557,0.06304217215643988,0.9309620998806423,0.0,0.0,0.0,1
